category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct
ELSS,Bandhan ELSS Tax saver Fund,BSE 500 TRI,6.5810604,11.80396,13.192126
ELSS,Bank of India ELSS Tax Saver,BSE 500 TRI,7.28368,14.648047,12.730164
ELSS,Baroda BNP Paribas ELSS Tax Saver Fund,Nifty 500 TRI,9.963516,17.597776,14.005874
ELSS,Canara Robeco ELSS Tax Saver Fund,BSE 500 TRI,6.4975247,13.778953,12.193754
ELSS,DSP ELSS Tax Saver Fund,Nifty 500 TRI,4.0515847,15.839315,13.554876
ELSS,Edelweiss ELSS Tax saver Fund,Nifty 500 TRI,10.760234,15.755465,13.696497
ELSS,Franklin India ELSS Tax Saver Fund,Nifty 500 TRI,0.52719563,13.384734,13.493752
ELSS,Groww ELSS Tax Saver Fund,BSE 500 TRI,-1.8037835,11.597041,10.572764
ELSS,HDFC ELSS Tax saver,Nifty 500 TRI,1.3437357,15.759913,16.423141
ELSS,HSBC ELSS Tax saver Fund,Nifty 500 TRI,8.283124,18.03969,14.223862
ELSS,ICICI Prudential ELSS Tax Saver Fund,Nifty 500 TRI,4.6471734,13.311125,12.154679
ELSS,ITI ELSS Tax Saver Fund,Nifty 500 TRI,9.815194,19.586996,14.180041
ELSS,Invesco India ELSS Tax Saver Fund,BSE 500 TRI,3.5638986,14.250072,11.457271
ELSS,JM ELSS Tax Saver Fund,BSE 500 TRI,12.828477,18.241846,16.099775
ELSS,Kotak ELSS Tax Saver Fund,Nifty 500 TRI,5.38986,13.389135,13.383016
ELSS,LIC MF ELSS Tax Saver,Nifty 500 TRI,1.4315497,12.37357,11.740062
ELSS,Mahindra Manulife ELSS Tax Saver Fund,Nifty 500 TRI,1.331899,10.898777,11.70397
ELSS,Mirae Asset ELSS Tax Saver Fund,Nifty 500 TRI,7.6820173,14.5767,12.963507
ELSS,Motilal Oswal ELSS Tax Saver Fund,Nifty 500 TRI,9.635984,22.816786,17.870987
ELSS,NJ ELSS Tax Saver Scheme,Nifty 500 TRI,0.66093856,12.815566,
ELSS,Nippon India ELSS Tax Saver Fund,Nifty 500 TRI,4.9839478,14.715701,13.925587
ELSS,PGIM India ELSS Tax Saver Fund,Nifty 500 TRI,2.6877668,10.526884,11.3447485
ELSS,Parag Parikh ELSS Tax Saver Fund,Nifty 500 TRI,-3.3447618,12.051394,13.340139
ELSS,Quant ELSS Tax Saver Fund,Nifty 500 TRI,16.41333,17.388344,15.940659
ELSS,Quantum ELSS Tax Saver Fund,BSE 500 TRI,-0.14740108,12.43743,11.373125
ELSS,SBI ELSS Tax Saver Fund,BSE 500 TRI,3.2089806,17.057302,16.66054
ELSS,Samco ELSS Tax Saver Fund,Nifty 500 TRI,-1.1569053,5.767206,
ELSS,Shriram ELSS Tax Saver Fund,Nifty 500 TRI,3.6459513,10.137065,9.760596
ELSS,Sundaram ELSS Tax Saver Fund,Nifty 500 TRI,0.52383703,10.782214,11.48223
ELSS,Tata ELSS Fund,Nifty 500 TRI,10.173306,14.46783,14.054859
ELSS,Taurus ELSS Tax Saver Fund,BSE 500 TRI,1.1400409,12.362184,11.969458
ELSS,UTI ELSS Tax Saver Fund,Nifty 500 TRI,3.1320968,10.923447,9.445426
ELSS,UTI Master Equity Plan Unit Scheme,BSE 100 TRI,,,
ELSS,Union ELSS Tax Saver Fund,BSE 500 TRI,5.05441,12.665377,12.401914
ELSS,WhiteOak Capital ELSS Tax Saver Fund,BSE 500 TRI,7.4993105,18.479145,
Contra,Invesco India Contra Fund,BSE 500 TRI,3.374778,17.0805,14.745932
Contra,Kotak Contra Fund,Nifty 500 TRI,7.0948806,17.949934,16.198011
Contra,Motilal Oswal Contra Fund,Nifty 500 TRI,,,
