category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct,scheme_code,matched_name
Mid Cap,JM Midcap Fund,Nifty Midcap 150 TRI,13.436104,21.882915,,150815,JM Midcap Fund (Direct) - Growth
Mid Cap,Kotak Midcap Fund,Nifty Midcap 150 TRI,10.105798,20.552298,18.107933,119775,Kotak Midcap Fund - Direct Plan - Growth
Mid Cap,LIC MF Mid cap Fund,Nifty Midcap 150 TRI,8.945437,18.72221,14.132552,152002,LIC MF Mid Cap Fund-Direct Plan-Growth
Mid Cap,Mahindra Manulife Mid Cap Fund,Nifty Midcap 150 TRI,16.462181,22.806822,19.481327,142110,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth
Mid Cap,Mirae Asset Midcap Fund,Nifty Midcap 150 TRI,15.068706,18.840752,17.067854,147445,Mirae Asset Midcap Fund- Direct Growth Option
Mid Cap,Motilal Oswal Midcap Fund,Nifty Midcap 150 TRI,-0.0048407232,20.489933,23.105713,127042,Motilal Oswal Midcap Fund-Direct Plan-Growth Option
Mid Cap,Nippon India Growth Mid Cap Fund,Nifty Midcap 150 TRI,12.596235,21.958338,19.945528,118665,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option
Mid Cap,PGIM India Midcap Fund,Nifty Midcap 150 TRI,3.7438815,13.287084,12.772571,125307,PGIM India Midcap Fund - Direct Plan - Growth Option
Mid Cap,SBI Midcap Fund,Nifty Midcap 150 TRI,8.2581005,13.581713,15.12774,151036,HSBC Midcap Fund - Direct Growth
Mid Cap,Samco Mid Cap Fund,Nifty Midcap 150 TRI,,,,152847,Samco Multi Cap Fund - Direct Plan - Growth
Mid Cap,Sundaram Mid Cap Fund,Nifty Midcap 150 TRI,11.917635,21.946032,19.068197,119581,Sundaram Mid Cap Fund Direct Plan - Growth
Mid Cap,TRUSTMF Mid Cap Fund,Nifty Midcap 150 TRI,,,,152584,TRUSTMF Flexi Cap Fund-Direct Plan- Growth
